iteracao,tempo
1270,0.02094292640686035
1275,0.020788192749023438
1280,0.02085256576538086
1285,0.022820472717285156
1290,0.025035381317138672
1295,0.02146601676940918
1300,0.022090673446655273
1305,0.021558284759521484
1310,0.022193431854248047
1315,0.022824525833129883
1320,0.02211904525756836
1325,0.022418737411499023
1330,0.022496700286865234
1335,0.022630691528320312
1340,0.02283000946044922
1345,0.023085355758666992
1350,0.023775815963745117
1355,0.023285627365112305
1360,0.023848533630371094
1365,0.023757457733154297
1370,0.023987531661987305
1375,0.02606964111328125
1380,0.024678945541381836
1385,0.024214744567871094
1390,0.024942398071289062
1395,0.02502584457397461
1400,0.025200366973876953
1405,0.025723934173583984
1410,0.025330781936645508
1415,0.025446653366088867
1420,0.026055574417114258
1425,0.029126882553100586
1430,0.025977373123168945
1435,0.02593851089477539
1440,0.0269162654876709
1445,0.028139591217041016
1450,0.026801109313964844
1455,0.026694059371948242
1460,0.02707815170288086
1465,0.0284726619720459
1470,0.02759695053100586
1475,0.027627944946289062
1480,0.028139114379882812
1485,0.028303146362304688
1490,0.02936697006225586
1495,0.0281679630279541
1500,0.028941631317138672
1505,0.030312776565551758
1510,0.02919793128967285
1515,0.03347969055175781
1520,0.03208756446838379
1525,0.029635906219482422
1530,0.03189444541931152
1535,0.030595064163208008
1540,0.03115391731262207
1545,0.03114032745361328
1550,0.031003236770629883
1555,0.03144025802612305
1560,0.03260517120361328
1565,0.03354787826538086
1570,0.03307700157165527
1575,0.03259873390197754
1580,0.03487896919250488
1585,0.03703761100769043
1590,0.03500723838806152
1595,0.033087730407714844
1600,0.03353261947631836
1605,0.033518314361572266
1610,0.034142494201660156
1615,0.034256696701049805
1620,0.036716461181640625
1625,0.03412270545959473
1630,0.034662485122680664
1635,0.03711438179016113
1640,0.03511619567871094
1645,0.03826618194580078
1650,0.03636312484741211
1655,0.03618025779724121
1660,0.036103248596191406
1665,0.03580904006958008
1670,0.03864407539367676
1675,0.03655195236206055
1680,0.03762483596801758
1685,0.037932395935058594
1690,0.0373530387878418
1695,0.037253379821777344
1700,0.04043245315551758
1705,0.037611961364746094
1710,0.041407108306884766
1715,0.037973880767822266
1720,0.03905916213989258
1725,0.03986096382141113
1730,0.040055274963378906
1735,0.03962206840515137
1740,0.04010438919067383
1745,0.04036068916320801
1750,0.039774179458618164
1755,0.03901982307434082
1760,0.04105091094970703
1765,0.03983592987060547
1770,0.039951324462890625
1775,0.04002952575683594
1780,0.04114699363708496
1785,0.04251432418823242
1790,0.04078841209411621
1795,0.043244123458862305
1800,0.041132211685180664
1805,0.04314255714416504
1810,0.041777849197387695
1815,0.04230546951293945
1820,0.0419764518737793
1825,0.042157649993896484
1830,0.042404890060424805
1835,0.042513370513916016
1840,0.04594087600708008
1845,0.04312562942504883
1850,0.04396963119506836
1855,0.045142412185668945
1860,0.044416189193725586
1865,0.04433012008666992
1870,0.044985294342041016
1875,0.044241905212402344
1880,0.04838371276855469
1885,0.045931100845336914
1890,0.0463712215423584
1895,0.04874229431152344
1900,0.046550750732421875
1905,0.04727458953857422
1910,0.05075216293334961
1915,0.04756307601928711
1920,0.047989845275878906
1925,0.04826164245605469
1930,0.04833698272705078
1935,0.04881691932678223
1940,0.04926872253417969
1945,0.049883365631103516
1950,0.05248260498046875
1955,0.05107712745666504
1960,0.049646615982055664
1965,0.05322623252868652
1970,0.05049276351928711
1975,0.0520777702331543
1980,0.05104398727416992
1985,0.05131959915161133
1990,0.05558633804321289
1995,0.054947853088378906
2000,0.05213165283203125
2005,0.05269932746887207
2010,0.05249953269958496
2015,0.05749368667602539
2020,0.053232669830322266
2025,0.05307626724243164
2030,0.05736994743347168
2035,0.05343341827392578
2040,0.054616451263427734
2045,0.05417585372924805
2050,0.054743289947509766
2055,0.05768632888793945
2060,0.05644083023071289
2065,0.05704355239868164
2070,0.05680370330810547
2075,0.057372093200683594
2080,0.058420419692993164
2085,0.05655479431152344
2090,0.057192087173461914
2095,0.0578303337097168
2100,0.05743288993835449
2105,0.06022357940673828
2110,0.05828452110290527
2115,0.05894899368286133
2120,0.0576786994934082
2125,0.05938911437988281
2130,0.05881619453430176
2135,0.060270071029663086
2140,0.06428742408752441
2145,0.05989408493041992
2150,0.05988502502441406
2155,0.06099843978881836
2160,0.06019711494445801
2165,0.06339144706726074
2170,0.061219215393066406
2175,0.062300682067871094
2180,0.0625460147857666
2185,0.06647205352783203
