CARIMBO DE DATA/HORA,LINK DA CASA,VALOR DA CASA,BAIRRO,VALOR DO IMÓVEL ,NÚMERO DE QUARTOS,NÚMERO DE BANHEIROS,TAMANHO DO TERRENO,TEM EDÍCULA?,ZONA,EDICULA,Preço da area,,,,BAIRROS
6/25/2023 11:34:54,https://wwwredentoracombr/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Boa-Vista/2320,1200000,Boa Vista,Mais que 400 mil,3,7,600,Não,CENTRO,0,"R$ 2,000.00",,,,"Boa Vista, São José do Rio Preto"
6/25/2023 11:35:33,https://wwwredentoracombr/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Boa-Vista/1637,550000,Boa Vista,Mais que 400 mil,4,4,528,Sim,CENTRO,1,"R$ 1,041.67",,,,"Boa Vista, São José do Rio Preto"
6/25/2023 11:36:20,https://wwwredentoracombr/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Boa-Vista/1178,900000,Boa Vista,Mais que 400 mil,3,6,480,Não,CENTRO,0,"R$ 1,875.00",,,,"Boa Vista, São José do Rio Preto"
6/25/2023 11:36:53,https://wwwredentoracombr/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Boa-Vista/1126,330000,Boa Vista,300-350 mil,3,3,363,Sim,CENTRO,1,R$ 909.09,,,,"Boa Vista, São José do Rio Preto"
6/25/2023 11:37:17,https://wwwredentoracombr/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Boa-Vista/1102,500000,Boa Vista,Mais que 400 mil,3,3,242,Não,CENTRO,0,"R$ 2,066.12",,,,"Boa Vista, São José do Rio Preto"
6/25/2023 11:38:06,https://wwwredentoracombr/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Boa-Vista/997,420000,Boa Vista,Mais que 400 mil,3,3,242,Não,CENTRO,0,"R$ 1,735.54",,,,"Boa Vista, São José do Rio Preto"
6/25/2023 11:39:04,https://wwwredentoracombr/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Parque-Industrial/24275,435000,Parque Industrial,Mais que 400 mil,3,3,242,Não,CENTRO,0,"R$ 1,797.52",,,,"Parque Industrial, São José do Rio Preto"
6/25/2023 11:39:53,https://wwwredentoracombr/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Parque-Industrial/23942,480000,Parque Industrial,Mais que 400 mil,3,4,343,Sim,CENTRO,1,"R$ 1,399.42",,,,"Parque Industrial, São José do Rio Preto"
6/25/2023 11:40:25,https://wwwredentoracombr/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Parque-Industrial/22705,300000,Parque Industrial,250-300 mil,3,3,242,Sim,CENTRO,1,"R$ 1,239.67",,,,"Parque Industrial, São José do Rio Preto"
6/25/2023 11:41:20,https://wwwredentoracombr/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Parque-Industrial/21888,400000,Parque Industrial,350-400 mil,4,4,337,Sim,CENTRO,1,"R$ 1,186.94",,,,"Parque Industrial, São José do Rio Preto"
